id,submission_time,vote_number,question_id,message,image
0,1493398154,4,0,You need to use brackets: my_list = [],
1,1493088154,35,0,Look it up in the Python docs,
18dd199c6c1c4a03903a3727d2d773f6,1560424179,0,0,lolasdasdasdasd,
bf8b064f53d04bf7b20d7c73d10b5b23,1560424205,0,0,nehasználd,
f3353d9c02e84d908bfb0f3d50421ad3,1560424239,0,0,sdfg,
e448469b7a044eb6a711268f58fa96b3,1560424404,0,1,sdhfz,
a3af45301bf746c8a210337dd322b6eb,1560424436,0,1,sdhfz,
2bf35e17b6304e8ca01c427b1b4591ec,1560424579,0,0,sdfgdfjgfkgh,
f8f010516af54b92ba29b627b7e461b7,1560424686,0,0,lolasd,
3d84b015b49440fd945111de3c443c28,1560424765,0,0,asdffdhgfgn,
83ae9d42a2b2411695201a764b49942b,1560424897,0,0,asdfadsfhgfj,
02049ca0a56c4a85954909f0e7a8b528,1560425069,0,0,dsghjfgk,
9d9ab8ac0ee143efb327499e89690698,1560425082,0,0,dsghjfgkfghk,
597d2a8a0ae34239a8ebc43f3f9080f8,1560425125,0,0,srj,
323e90ec327449479c2e481d2c6c03d5,1560425132,0,0,qermdngfkjkdfgdh,
5c0f614e1a0e4c508b7d9b7ddd26945c,1560425386,0,0,gdhffgj,
